"team_id","arena","arenacapacity"
"1610612737","State Farm Arena","18729.0"
"1610612738",NULL,NULL
"1610612739",NULL,NULL
"1610612740",NULL,NULL
"1610612741","United Center","21711.0"
"1610612742","American Airlines Center","19200.0"
"1610612743","Ball Arena",NULL
"1610612744","Chase Center",NULL
"1610612745","Toyota Center","18104.0"
"1610612746","Crypto.com Arena","19060.0"
"1610612747","Crypto.com Arena","19060.0"
"1610612748","Kaseya Center","19600.0"
"1610612749","Fiserv Forum","17500.0"
"1610612750","Target Center","19356.0"
"1610612751","Barclays Center",NULL
"1610612752",NULL,NULL
"1610612753",NULL,NULL
"1610612754","Gainbridge Fieldhouse ","18345.0"
"1610612755","Wells Fargo Center",NULL
"1610612756","Footprint Center",NULL
"1610612757","Moda Center","19980.0"
"1610612758","Golden 1 Center","17500.0"
"1610612759","AT&T Center","18694.0"
"1610612760","Paycom Center",NULL
"1610612761","Scotiabank Arena",NULL
"1610612762","Delta Center",NULL
"1610612763","FedExForum","18119.0"
"1610612764","Capital One Arena","20647.0"
"1610612765","Little Caesars Arena",NULL
"1610612766","Spectrum Center","19026.0"
