"team_id","full_name","abbreviation","nickname","year_founded"
"1","test","tes","testing this transaction","2024"
"7","test","tst","test","1213"
"42","NAME CHANGE","TTN","TEST","2024"
"1610612737","Atlanta Hawks","ATL","Hawks","1949"
"1610612738","Boston Celtics","BOS","Celtics","1946"
"1610612739","Cleveland Cavaliers","CLE","Cavaliers","1970"
"1610612740","New Orleans Pelicans","NOP","Pelicans","2002"
"1610612741","Chicago Bulls","CHI","Bulls","1966"
"1610612742","Dallas Mavericks","DAL","Mavericks","1980"
"1610612743","Denver Nuggets","DEN","Nuggets","1976"
"1610612744","Golden State Warriors","GSW","Warriors","1946"
"1610612745","Houston Rockets","HOU","Rockets","1967"
"1610612746","Los Angeles Clippers","LAC","Clippers","1970"
"1610612747","Los Angeles Lakers","LAL","Lakers","1948"
"1610612748","Miami Heat","MIA","Heat","1988"
"1610612749","Milwaukee Bucks","MIL","Bucks","1968"
"1610612750","Minnesota Timberwolves","MIN","Timberwolves","1989"
"1610612751","Brooklyn Nets","BKN","Nets","1976"
"1610612752","New York Knicks","NYK","Knicks","1946"
"1610612753","Orlando Magic","ORL","Magic","1989"
"1610612754","Indiana Pacers","IND","Pacers","1976"
"1610612755","Philadelphia 76ers","PHI","76ers","1949"
"1610612756","Phoenix Suns","PHX","Suns","1968"
"1610612757","Portland Trail Blazers","POR","Trail Blazers","1970"
"1610612758","Sacramento Kings","SAC","Kings","1948"
"1610612759","San Antonio Spurs","SAS","Spurs","1976"
"1610612760","Oklahoma City Thunder","OKC","Thunder","1967"
"1610612761","Toronto Raptors","TOR","Raptors","1995"
"1610612762","Utah Jazz","UTA","Jazz","1974"
"1610612763","Memphis Grizzlies","MEM","Grizzlies","1995"
"1610612764","Washington Wizards","WAS","Wizards","1961"
"1610612765","Detroit Pistons","DET","Pistons","1948"
"1610612766","zak","CHA","Hornets","1988"
